feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16
-0.172344615,-0.05338069,0.148071401,0.411840041,0.568647265,-0.095110209,-0.196216527,-0.104107611,0.394912973,0.051411936,0.235429305,-0.704086159,0.246409448,-0.087739871,0.174688671,-0.196531217
-0.601381895,0.256200819,-0.26609899,0.177333746,0.247965511,-0.540102987,0.089064717,0.018037203,-0.46621977,0.215575437,-0.189866081,-0.211817972,0.569093351,-0.029829224,0.165177946,-0.151323491
0.281299385,-0.019415462,0.459381668,0.473347452,0.449860766,-0.300271753,-0.679942611,0.015136297,-0.069741753,-0.359261013,-0.364003341,-0.654669574,-0.393745538,-0.369387409,0.192091973,0.296858652
-0.292003255,-0.093560022,0.429333328,-0.420879353,0.867346403,-0.2662555,0.128538835,-0.092100834,0.401027751,-0.317806644,-0.27454984,0.491968428,0.065749291,-0.091597077,0.263585954,-0.013688641
0.719040464,-0.231343918,-0.427334295,0.461232138,0.049907872,0.218905043,-0.379504031,0.349182394,0.658062439,-0.210272494,0.249229242,0.420104233,-0.604839292,-0.30262683,0.076045777,0.355994782
0.265874675,-0.565552203,-0.145966039,-0.015776084,-0.737928278,0.152520322,-0.029658573,0.059727405,0.117867893,-0.286870339,0.421972169,-0.002835703,0.455765945,0.179769851,0.11211356,-0.190163976
0.205375541,0.634246431,0.418185226,0.28772247,-0.120382124,0.01322109,0.062949442,0.491396073,0.192721911,-0.451397994,-0.148354804,0.579207327,-0.19580606,-0.14300726,0.407007324,0.263795363
0.12499757,-0.267720246,-0.257658806,0.2897954,0.328907668,0.151045642,-0.292030384,-0.311891284,0.004505824,0.041741865,-0.271017862,-0.263671338,0.39958952,-0.059438015,0.341932121,0.176417117
0.155042847,0.337694035,0.032810037,-0.066522829,-0.156039479,-0.355179703,-0.753603831,0.18440262,0.02550957,0.262165137,0.386882715,0.468616614,-0.383047736,-0.2960018,-0.044477088,0.095071637
